crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url,web_botanical_name,web_soil_temp,web_planting_depth,sdsc_days_to_germ,web_days_to_maturity,sdsc_succession,web_best_planting_method,web_thin_to,web_final_spacing,sdsc_area_to_sow,web_seeds_per_packet,sdsc_product_weight,sdsc_plant_height,sdsc_plant_spread,js_growing_notes,scrape_status,scrape_date
Arugula,Wild Arugula,SDSC,,,cool,medium,Sep–Mar,direct_sow,,30,scattered,,25.0,0.001,0.0015,,single,,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,Eruca sativa,45° F+,"1/16""",3-10+,35+,14 days,Direct or transplant,"≥2"" apart","≥5"" apart",15' row,350,.25G,"10-12""","4""",N/A,success,2025-12-24T11:20:52.268505
Lettuce (Single),Parris Island Cos Romaine,SDSC,,,cool,medium-high,Sep–Mar,transplant,28.0,55,5-star,1.0,,1.0,1.0,,single,,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,Zea mays,50° F+,"1/8""",3-10+,55+,10 days,Direct or transplant,"≥2"" apart","≥5"" apart",25' row,60,NOT_FOUND,"96-120""","18-20""",N/A,success,2025-12-24T11:20:56.328614
Lettuce (Mixed),Zone 9-10 Mix,SDSC,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20.0,0.0015,0.0025,,mixed,organic,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,Lactuca sativa,50° F+,"1/8""",3-10+,51+,10 days,Direct or transplant,"≥2"" apart","≥5"" apart",10' row,60,.25G,"10""","6-12""",N/A,success,2025-12-24T11:20:56.836376
Lettuce (Mixed),Allstar Gourmet Mix,JS,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20.0,0.0015,0.0025,,mixed,,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,Lactuca sativa,60-68°F (16-20°C),"1/8""",N/A,28 days,N/A,Either,"2"" apart","10–12"" apart in rows 15–18""",N/A,1000,N/A,N/A,N/A,"A specially designed blend based on two years of trial research to make your salad mix stand out from the crowd. Selected varieties yield darker reds and greens even under low-light conditions. Ruffled edges and unique leaf shapes provide loft, interesting texture, good shelf life, and fancy appearance. Includes green oakleaf, red oakleaf, green romaine, red romaine, lollo rossa, and red leaf lettuces. MT0-30. Varieties are subject to change depending upon availability. Specs: Packet: 1,000 seeds Avg. 26,440 seeds/oz",success,2025-12-24T11:21:29.912264
Spinach,Corvair,SDSC,,,cool,medium,Oct–Feb,transplant,28.0,45,4,3.0,,0.25,1.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,Spinacia oleracea,45° F+,"1/2""",3-10+,27+,7 days,Direct or transplant,"≥2"" apart","≥5"" apart",15' row,45,.5G,"6-8""","12""",N/A,success,2025-12-24T11:20:52.639994
Swiss Chard,Bright Lights,JS,,,cool,medium,Sep–Mar,transplant,28.0,60,2,1.0,,8.0,12.0,,single,,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html,Beta vulgaris,Seeds germinate in soil temperatures from 40–100°F (5–38°C) with an optimum of 86°F (30°C),"1/2""",N/A,55,N/A,either,"4–6"" apart","4–6"" apart; rows 12–18"" apart",N/A,200,N/A,N/A,N/A,"Nicely savoyed and glossy green or bronze leaves with stems of many colors including gold, pink, orange, red, and white with bright, pastel, and multicolored variations. The flavor is milder than ordinary chard, with each color a bit different. Direct seed or grow from transplant which allows separating out the individual colors. Consistent growth rate, leaf shape and texture, and strong bolt resistance across all colors makes this a superior mix. Suitable for production year-round, but somewhat less frost hardy than other chards. The late New Zealand amateur breeder John Eaton developed Bright Lights, and Johnny's selects and maintains the different color stocks and produces the seeds. AAS Winner. Decorticated (rubbed) seeds. Also available with NOP-compliant pelleting. Specs: Packet: 200 seeds Avg. 30,400 seeds/lb",success,2025-12-24T11:21:22.338138
Greens Mixes,Ovation Greens Mix,JS,,,cool,medium,Sep–Mar,direct_sow,,35,scattered,,25.0,0.0015,0.0015,,mixed,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,Brassica spp.,N/A,"¼""",N/A,21 days,N/A,Direct sow,,"2"" apart",N/A,1000,N/A,N/A,N/A,"A great combination of both mild and spicy ingredients. Includes red mustard, mizuna, tatsoi, kale, and arugula. NOTE: To increase the expression of red coloration, sow seed more sparsely. Varieties are subject to change depending upon availability. USDA Certified Organic. CULTURE: For cultural information, see the baby-leaf brassica greens culture. DAYS TO MATURITY: From date of direct seeding. DIRECT SEEDING: Sow ¼"" deep at 3–5 seeds/inch, in rows at least 2"" apart from early spring to midsummer. For a continuous supply sow about every 2 weeks. AVG. DIRECT SEEDING RATE: 1,000 seeds/16', 1 oz./200', 1 lb./3,200' at 60 seeds per foot. SUGGESTED SEEDERS: JP-1 with suggested Jang Rollers X-24 and F-24; Earthway Seeder; Six-Row Seeder; One-Row Pinpoint Seeder; Four-Row Pinpoint Seeder. SEEDS/OZ. (AVG.): 13,750. PACKET: 1,000 seeds, sows 16'.",success,2025-12-24T11:21:26.219440
Mustard Greens,Broadleaf Mustard Green,SDSC,,,cool,medium,Sep–Mar,direct_sow,,40,scattered,,5.0,,,,single,,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/,Brassica juncea,45° F+,"1/4""",3-10+,35+,14 days,Direct or transplant,"≥2"" apart","≥6"" apart",25' row,300,NOT_FOUND,"10-12""","18""",N/A,success,2025-12-24T11:20:57.312121
Chicory,Gourmet Blend,SDSC,,,cool,medium,Sep–Feb,direct_sow,,55,scattered,,5.0,,,,mixed,,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,Cichorium intybus,60º F+,"1/4""",7-14+,50+,21 days,Direct or transplant,"≥2"" apart","≥12"" apart",25' row,60,NOT_FOUND,"6–16""","4–16""",N/A,success,2025-12-24T11:20:52.613702
Celery,Golden Pascal,SDSC,,,cool,high,Aug–Oct,transplant,80.0,120,3,1.0,,0.5,0.5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/,Apium graveolens,60° F+,"1/16""",5-15+,100+,NA,Transplant,"≥2"" apart","≥6"" apart",100' row,300,NOT_FOUND,"24""","12""",N/A,success,2025-12-24T11:20:57.493126
Celery,Tango,JS,,,cool,high,Aug–Oct,transplant,80.0,120,3,1.0,,0.5,0.5,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,Apium graveolens,70–75°F (21–24°C),"⅛""",N/A,80 days,N/A,Transplant,"6–8"" apart","6–8"" apart in rows 24–36"" apart",N/A,250,N/A,N/A,N/A,"Highly adaptable variety with great flavor and tender stalks. Tango performs well under less-than-ideal growing conditions such as heat or moisture stress. Can be winter grown in milder climates for cut-and-come-again stalks for bunching. Also available with NOP-compliant pelleting. USDA Certified Organic. Specs: Packet: 250 seeds Avg. 66,700 seeds/oz",success,2025-12-24T11:21:20.482499
Onions ,Red Rock Bulbing,SDSC,,,cool,medium,Sep–Jan,direct_sow,,120,3,2.0,,0.25,0.35,,single,bulbing types vary by daylength,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/,Allium cepa,50° F+,"1/4""",7-21+,165+,NA,Transplant,"≥2"" apart","≥5"" apart",15' row,65,NOT_FOUND,"12-16""","8""",N/A,success,2025-12-24T11:20:57.561398
Onions,Maragogi F1,JS,,,cool,medium,Sep–Jan,direct_sow,,120,3,2.0,,0.25,0.35,,single,bulbing types vary by daylength,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,Allium cepa,N/A,"1/4– 1/2""",N/A,145 from fall planting,N/A,Either,"Thin to 1 1/2–2"" apart for highest yields in fertile soil; thin to 3-4"" apart for larger onions.","4"" x 12–18""",N/A,250,N/A,N/A,N/A,"Maragogi is a productive yellow short-day onion for the early/main season. Offers a great balance of earliness, yield, and exceptional uniformity. With intermediate resistance to Fusarium and pink root rot, Maragogi's healhy plants produce attractive jumbo-sized granex bulbs with a high percentage of single centers. For short storage (2–3 months) under ideal conditions. Disease Resistance: Fusarium Basal Rot (Intermediate) Pink Root (Intermediate) Specs: Packet: 250 seeds Avg. 87,100 seeds/lb",success,2025-12-24T11:21:25.663871
Tomatoes,Bo Mango,SDSC,,,warm,medium-high,,transplant,50.0,80,1,0.5,,5.0,15.0,,single,organic,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/,NOT_FOUND,65° F+,"1/4""",3-10+,70+,NA,Transplant,"≥2"" apart","≥24"" apart",50' row,60,0.15G,"36-90""","24-36""",N/A,success,2025-12-24T11:21:38.002471
Tomatoes,Dwarf Wilpena,SDSC,,,warm,medium-high,,transplant,50.0,80,1,0.5,,5.0,15.0,,single,"organic, dwarf - no trellis required",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/,Solanum lycopersicum,65° F+,"1/4""",3–10+,65+,NA,Transplant,"≥2"" apart","≥24"" apart",15' row,15,0.15G,"24–60""","24-36""",N/A,success,2025-12-24T11:21:37.767981
Tomatoes,Dwarf Lucky Swirl,SDSC,,,warm,medium-high,,transplant,50.0,90,1,0.5,,5.0,15.0,,single,"organic, dwarf - no trellis required, container-friendly",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-lucky-swirl-tomato-seeds/,Solanum lycopersicum,65° F+,"1/4""",3-10+,90+,NA,Transplant,"≥2"" apart","≥24"" apart",50' row,NOT_FOUND,0.15G,"36-60""","24-36""",N/A,success,2025-12-24T11:21:36.598894
Tomatoes,Dwarf Franklin County,SDSC,,,warm,medium-high,,transplant,50.0,75,1,0.5,,5.0,15.0,,single,"organic, dwarf - no trellis required, high-yielding",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-franklin-county-tomato-seeds/,Solanum lycopersicum,65° F+,"1/4""",3-10+,75+,NA,Transplant,"≥2"" apart","≥24"" apart",50' row,NOT_FOUND,0.15G,"36-60""","24-36""",N/A,success,2025-12-24T11:21:32.821209
Tomatoes,Rainbow Cherry,SDSC,,,warm,medium-high,,transplant,50.0,80,1,0.5,,5.0,15.0,,single,,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/,Solanum lycopersicum,65° F+,"1/4""",3-10+,65+,NA,Transplant,"≥2"" apart","≥24"" apart",50' row,60,NOT_FOUND,"36-90""","24-36""",N/A,success,2025-12-24T11:21:36.846732
Tomatoes,Gardener's Delight,SDSC,,,warm,medium-high,,transplant,50.0,65,1,0.5,,5.0,15.0,,single,"organic, indeterminate cherry, requires support",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-gardeners-delight-tomato-seeds/,Solanum lycopersicum,65° F+,"1/4""",3-10+,65+,NA,Transplant,"≥2"" apart","≥24"" apart",50' row,60,0.15G,"36-90""","24-36""",N/A,success,2025-12-24T11:21:32.888542
Tomatoes,Sweetie Cherry,SDSC,,,warm,medium-high,,transplant,50.0,85,1,0.5,,5.0,15.0,,single,"organic, indeterminate cherry, crack-free",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-sweetie-cherry-tomato/,Solanum lycopersicum,65° F+,"1/4""",3-10+,85+,NA,Transplant,"≥2"" apart","≥24"" apart",50' row,60,0.15G,"36-90""","24-36""",N/A,success,2025-12-24T11:21:38.002249
