crop,botanical,variety,supplier,last_order,stock_quantity,season,water,plant_window,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,notes,url,web_soil_temp,web_planting_depth,sdsc_days_to_germ,web_days_to_maturity,sdsc_succession,web_best_planting_method,web_thin_to,web_final_spacing,sdsc_area_to_sow,sdsc_plant_height,sdsc_plant_spread,packet_type,web_seeds_per_packet,notes,js_growing_notes,scrape_status,scrape_date
Cauliflower,Brassica oleracea var. botrytis,Snowball,SDSC,,,cool,high,Aug–Dec,transplant,35,80,2,0.56,,1,2,organic,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/,55° F+,"1/4""",5-15+,60+,21 days,Transplant,"≥2"" apart","≥24"" apart",80' row,"24""","12""",single,90,,N/A,success,2025-12-24 11:20:14
Cauliflower,Brassica oleracea var. botrytis,Violet Queen,SDSC,12/21/2025,1 packet,cool,high,Aug–Dec,transplant,35,80,2,0.56,,1,2,,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/,55° F+,"1/4""",5-15+,75+,21 days,Transplant,"≥2"" apart","≥24"" apart",75' row,"24""","12""",single,50,,N/A,success,2025-12-24 11:20:13
Kale,Brassica oleracea,Black Magic,SDSC,12/21/2025,1 packet,cool,medium,Aug–Mar,transplant,30,60,5-star,1,,1,5,*shopper requested*,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/,55° F+,1/2”,3-10+,65+,N/A,Direct or transplant,"≥2"" apart","≥12"" apart",30' row,"24""","24""",single,45,,N/A,success,2025-12-24 11:20:10
Kale,Brassica oleracea,Black Magic,JS,,,,,,,,,,,,,,,https://www.johnnyseeds.com/vegetables/kale/black-magic-organic-kale-seed-3531G.html,55° F+,,,,,,,,,,,,,,,,
Beets,Beta vulgaris,Golden Beet,SDSC,,,cool,medium,Sep–Feb,transplant,,60,5-star,3,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/,50° F+,"1/2""",5-15+,55+,10-21 days,Direct,"≥3"" apart","≥5"" apart",30' row,"14-16""","4-12""",single,100,,N/A,success,2025-12-24 11:20:14
Beets,Beta vulgaris,Boro,SDSC,,,cool,medium,Sep–Feb,transplant,,60,5-star,3,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/,50° F+,"1/2""",5-15+,50+,10-21 days,Direct,"≥2"" apart","≥5"" apart",20’ row,"8-10""","4-12""",single,75,,N/A,success,2025-12-24 11:20:14
Beets,Beta vulgaris,Detroit Dark Red,SDSC,,,cool,medium,Sep–Feb,transplant,,60,5-star,3,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/,50° F+,"1/2""",5-15+,60+,10-21 days,Direct,"≥2"" apart","≥5"" apart",20' row,"8-10""","4-12""",single,250,,N/A,success,2025-12-24 11:20:14
Beets,Beta vulgaris,Bulls Blood,SDSC,,,cool,medium,Sep–Feb,transplant,,60,5-star,3,,0.25,0.25,,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/,50° F+,"1/2""",5-15+,60+,10-21 days,Direct,"≥3"" apart","≥5"" apart",30' row,"8-10""","4-12""",single,100,,N/A,success,2025-12-24 11:20:10
Beets,Beta vulgaris,Boldor,JS,12/21/2025,1 packet,cool,medium,Sep–Feb,transplant,,60,5-star,3,,0.25,0.25,"organic, golden - *shopper requested*",https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,45°F (7°C),"1/2""",N/A,55 days,10-21 days,either,"3"" apart","3"" apart, rows 12-18""",N/A,N/A,N/A,single,350,,"Compared to Touchstone Gold, germination and seedling vigor are a bit better, and interior color is a shade lighter. Otherwise, it is very similar, with strong tops and great flavor. Also keeps its color when cooked. Also available with NOP-compliant pelleting. USDA Certified Organic. Culture: First-rate crops grow quickly in light or loamy soils with a pH over 6.0; cool temperatures produce the best flesh color. Disease: Keep beets well-irrigated to prevent scab, which causes raised brown rough spots on mature roots. Internal breakdown or browning is most likely to occur in alkaline soils after prolonged hot, dry periods and is caused by a boron deficiency. Rotate crops to prevent Cercospora leaf spot.",success,2025-12-24 11:20:41
Beets,Beta vulgaris,Boro F1,JS,12/21/2025,1 packet,cool,medium,Sep–Feb,transplant,,60,5-star,3,,0.25,0.25,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,45°F (7°C),"1/2""",N/A,50 days,10-21 days,Direct sow,"1 plant per 3""","3"" x 12–18""",N/A,N/A,N/A,single,350,,"Widely adapted and reliable. Smooth, rich red skin and excellent flavor. Attractive, fine taproot. Big healthy tops. Stores well through the winter in proper conditions. Also available with NOP-compliant pelleting. USDA Certified Organic. Specs: Packet: 350 seeds Avg. 51,300 seeds/lb",success,2025-12-24 11:20:41
Carrots,Daucus carota var. sativus,Juwarot,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/,50° F+,"1/16""",10-21+,70+,21 days,Direct,Final spacing,"≥2"" apart",28' row,"4-8""","2-4""",single,600,,N/A,success,2025-12-24 11:20:13
Carrots,Daucus carota var. sativus,Miami Pelleted,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/,50° F+,"1/4-1/2""",10-21+,75+,21 days,Direct,Final spacing,"≥4"" apart",25' row,NOT_FOUND,"2-4""",single,60,,N/A,success,2025-12-24 11:20:58
Carrots,Daucus carota var. sativus,Nantes Coreless,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/,50° F+,"1/16""",10-21+,75+,21 days,Direct,Final spacing,"≥2"" apart",28' row,"4-8""","2-4""",single,600,,N/A,success,2025-12-24 11:20:57
Carrots,Daucus carota var. sativus,Danvers,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-danvers-carrot-seeds/,50° F+,"1/16""",10-21+,60+,21 days,Direct,Final spacing,"≥2"" apart",28' row,"4-8""","2-4""",single,600,,N/A,success,2025-12-24 11:20:57
Carrots,Daucus carota var. sativus,Bengala F1,JS,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,*shopper requested* - currently out of stock,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,N/A,"1/4– 1/2""",N/A,85 days,21 days,Direct sow,"3/4–2"" apart","16–24"" apart",N/A,N/A,N/A,single,750,,"Adaptable and flavorful variety with great dormancy in storage. Firm, crunchy, and balanced sweet, carroty flavor. At 7–9"", slightly longer and broader than Bolero allowing for higher yield potential. Slower to tip fill than Bolero. At full maturity, roots are straight and smooth. Aggressive tall tops can compete with weeds and combat foliar diseases such as Alternaria dauci . USDA Certified Organic. Specs: Packet: 750 seeds Avg. 350,000 seeds/lb",success,2025-12-24 11:21:19
Carrots,Daucus carota var. sativus,Bolero F1,JS,12/21/2025,1 packet,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,*replacement for Bengala*,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,N/A,"1/4– 1/2""",N/A,75 days,21 days,Direct sow,"3/4–2"" apart","16–24""",N/A,N/A,N/A,single,750,,"Medium-long 7–8"" roots are uniform, thick, slightly tapered, and blunt. Excellent eating quality both fresh and after long-term storage, with juicy texture and sweet, complex flavor. A great choice for fall and winter harvest. Tops are vigorous, fast, and healthy which makes for better field-holding ability and easier mechanical harvesting. Heavy Nantes type. Also available with NOP-compliant pelleting. Disease Resistance: Alternaria Blight (High) Bacterial Blight (Intermediate) Cavity Spot (Intermediate) Cercospora Blight (Intermediate) Powdery Mildew (High) Specs: Packet: 750 seeds Avg. 250,400 seeds/lb",success,2025-12-24 11:21:17
Radishes,Raphanus sativus,French Breakfast,SDSC,,,cool,low-medium,Sep–Mar,direct_sow,,28,4,6,,0.25,0.25,,https://sandiegoseedcompany.com/product/vegetables/radishes/french-breakfast-radish-seeds/,45° F+,"1/4""",3-10+,30+,7 days,Direct,"≥2"" apart","≥4"" apart",50' row,"4-12""","3""",single,200,,N/A,success,2025-12-24 11:20:57
Radishes (Mixed),Raphanus sativus,Confetti Mix,SDSC,,,cool,low-medium,Sep–Mar,direct_sow,,28,4,6,,0.25,0.25,,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/,45° F+,"1/4""",3-10+,30+,7 days,Direct,"≥2"" apart","≥4"" apart",30' row,"4-6""","3""",mixed,200,,N/A,success,2025-12-24 11:20:57
Arugula,Eruca sativa,Wild Arugula,SDSC,,,cool,medium,Sep–Mar,direct_sow,,30,scattered,,25,0.001,0.0015,,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,45° F+,"1/16""",3-10+,35+,14 days,Direct or transplant,"≥2"" apart","≥5"" apart",15' row,"10-12""","4""",single,350,,N/A,success,2025-12-24 11:20:52
Lettuce (Single),Zea mays,Parris Island Cos Romaine,SDSC,12/21/2025,1 packet,cool,medium-high,Sep–Mar,transplant,28,55,5-star,1,,1,1,,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,50° F+,"1/8""",3-10+,55+,10 days,Direct or transplant,"≥2"" apart","≥5"" apart",25' row,"96-120""","18-20""",single,60,,N/A,success,2025-12-24 11:20:56
Lettuce (Mixed),Lactuca sativa,Zone 9-10 Mix,SDSC,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20,0.0015,0.0025,organic,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,50° F+,"1/8""",3-10+,51+,7-10 days,Direct or transplant,"≥2"" apart","≥5"" apart",10' row,"10""","6-12""",mixed,60,,N/A,success,2025-12-24 11:20:57
Lettuce (Mixed),Lactuca sativa,Allstar Gourmet Mix,JS,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20,0.0015,0.0025,,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,60-68°F (16-20°C),"1/8""",N/A,28 days,7-10 days,Either,"2"" apart","10–12"" apart in rows 15–18""",N/A,N/A,N/A,mixed,1000,,"A specially designed blend based on two years of trial research to make your salad mix stand out from the crowd. Selected varieties yield darker reds and greens even under low-light conditions. Ruffled edges and unique leaf shapes provide loft, interesting texture, good shelf life, and fancy appearance. Includes green oakleaf, red oakleaf, green romaine, red romaine, lollo rossa, and red leaf lettuces. MT0-30. Varieties are subject to change depending upon availability. Specs: Packet: 1,000 seeds Avg. 26,440 seeds/oz",success,2025-12-24 11:21:30
Spinach,Spinacia oleracea,Corvair,SDSC,,,cool,medium,Oct–Feb,transplant,28,45,4,3,,0.25,1,organic,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,45° F+,"1/2""",3-10+,27+,7 days,Direct or transplant,"≥2"" apart","≥5"" apart",15' row,"6-8""","12""",single,45,,N/A,success,2025-12-24 11:20:53
Swiss Chard,Beta vulgaris,Bright Lights,JS,,,cool,medium,Sep–Mar,transplant,28,60,2,1,,8,12,,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html,Seeds germinate in soil temperatures from 40–100°F (5–38°C) with an optimum of 86°F (30°C),"1/2""",N/A,55,N/A,either,"4–6"" apart","4–6"" apart; rows 12–18"" apart",N/A,N/A,N/A,single,200,,"Nicely savoyed and glossy green or bronze leaves with stems of many colors including gold, pink, orange, red, and white with bright, pastel, and multicolored variations. The flavor is milder than ordinary chard, with each color a bit different. Direct seed or grow from transplant which allows separating out the individual colors. Consistent growth rate, leaf shape and texture, and strong bolt resistance across all colors makes this a superior mix. Suitable for production year-round, but somewhat less frost hardy than other chards. The late New Zealand amateur breeder John Eaton developed Bright Lights, and Johnny's selects and maintains the different color stocks and produces the seeds. AAS Winner. Decorticated (rubbed) seeds. Also available with NOP-compliant pelleting. Specs: Packet: 200 seeds Avg. 30,400 seeds/lb",success,2025-12-24 11:21:22
Greens Mixes,Brassica spp.,Ovation Greens Mix,JS,12/21/2025,1 packet,cool,medium,Sep–Mar,direct_sow,,35,scattered,,25,0.0015,0.0015,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,N/A,"¼""",N/A,21 days,7-10 days,Direct sow,,"2"" apart",N/A,N/A,N/A,mixed,1000,,"A great combination of both mild and spicy ingredients. Includes red mustard, mizuna, tatsoi, kale, and arugula. NOTE: To increase the expression of red coloration, sow seed more sparsely. Varieties are subject to change depending upon availability. USDA Certified Organic. CULTURE: For cultural information, see the baby-leaf brassica greens culture. DAYS TO MATURITY: From date of direct seeding. DIRECT SEEDING: Sow ¼"" deep at 3–5 seeds/inch, in rows at least 2"" apart from early spring to midsummer. For a continuous supply sow about every 2 weeks. AVG. DIRECT SEEDING RATE: 1,000 seeds/16', 1 oz./200', 1 lb./3,200' at 60 seeds per foot. SUGGESTED SEEDERS: JP-1 with suggested Jang Rollers X-24 and F-24; Earthway Seeder; Six-Row Seeder; One-Row Pinpoint Seeder; Four-Row Pinpoint Seeder. SEEDS/OZ. (AVG.): 13,750. PACKET: 1,000 seeds, sows 16'.",success,2025-12-24 11:21:26
Mustard Greens,Brassica juncea,Broadleaf Mustard Green,SDSC,,,cool,medium,Sep–Mar,direct_sow,,40,scattered,,5,,,,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/,45° F+,"1/4""",3-10+,35+,14 days,Direct or transplant,"≥2"" apart","≥6"" apart",25' row,"10-12""","18""",single,300,,N/A,success,2025-12-24 11:20:57
Chicory,Cichorium intybus,Gourmet Blend,SDSC,,,cool,medium,Sep–Feb,direct_sow,,55,scattered,,5,,,,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,60º F+,"1/4""",7-14+,50+,21 days,Direct or transplant,"≥2"" apart","≥12"" apart",25' row,"6–16""","4–16""",mixed,60,,N/A,success,2025-12-24 11:20:53
Celery,Apium graveolens,Golden Pascal,SDSC,,,cool,high,Aug–Oct,transplant,80,120,3,1,,0.5,0.5,organic,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/,60° F+,"1/16""",5-15+,100+,N/A,Transplant,"≥2"" apart","≥6"" apart",100' row,"24""","12""",single,300,,N/A,success,2025-12-24 11:20:57
Celery,Apium graveolens,Tango,JS,12/21/2025,1 packet,cool,high,Aug–Oct,transplant,80,120,3,1,,0.5,0.5,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,70–75°F (21–24°C),"⅛""",N/A,80 days,N/A,Transplant,"6–8"" apart","6–8"" apart in rows 24–36"" apart",N/A,N/A,N/A,single,250,,"Highly adaptable variety with great flavor and tender stalks. Tango performs well under less-than-ideal growing conditions such as heat or moisture stress. Can be winter grown in milder climates for cut-and-come-again stalks for bunching. Also available with NOP-compliant pelleting. USDA Certified Organic. Specs: Packet: 250 seeds Avg. 66,700 seeds/oz",success,2025-12-24 11:21:20
Onions,Allium cepa,Red Rock Bulbing,SDSC,12/21/2025,1 packet,cool,medium,Sep–Jan,direct_sow,,120,3,2,,0.25,0.35,bulbing types vary by daylength,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/,50° F+,"1/4""",7-21+,165+,N/A,Transplant,"≥2"" apart","≥5"" apart",15' row,"12-16""","8""",single,65,,N/A,success,2025-12-24 11:20:58
Onions,Allium cepa,Maragogi F1,JS,12/21/2025,1 packet,cool,medium,Sep–Jan,direct_sow,,120,3,2,,0.25,0.35,bulbing types vary by daylength,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,N/A,"1/4– 1/2""",N/A,145 from fall planting,N/A,Either,"Thin to 1 1/2–2"" apart for highest yields in fertile soil; thin to 3-4"" apart for larger onions.","4"" x 12–18""",N/A,N/A,N/A,single,250,,"Maragogi is a productive yellow short-day onion for the early/main season. Offers a great balance of earliness, yield, and exceptional uniformity. With intermediate resistance to Fusarium and pink root rot, Maragogi's healhy plants produce attractive jumbo-sized granex bulbs with a high percentage of single centers. For short storage (2–3 months) under ideal conditions. Disease Resistance: Fusarium Basal Rot (Intermediate) Pink Root (Intermediate) Specs: Packet: 250 seeds Avg. 87,100 seeds/lb",success,2025-12-24 11:21:26
Tomatoes,Solanum lycopersicum,Bo Mango (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,organic,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/,65° F+,"1/4""",3-10+,70+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:38
Tomatoes,Solanum lycopersicum,Dwarf Wilpena (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,"organic, dwarf - no trellis required",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/,65° F+,"1/4""",3–10+,65+,N/A,Transplant,"≥2"" apart","≥24"" apart",15' row,"24–60""","24-36""",single,15,habit: stake,N/A,success,2025-12-24 11:21:38
Tomatoes,Solanum lycopersicum,Dwarf Lucky Swirl (det.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,90,1,0.5,,5,15,"organic, dwarf - no trellis required, container-friendly",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-lucky-swirl-tomato-seeds/,65° F+,"1/4""",3-10+,90+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-60""","24-36""",single,NOT_FOUND,habit: stake,N/A,success,2025-12-24 11:21:37
Tomatoes,Solanum lycopersicum,Dwarf Franklin County (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,75,1,0.5,,5,15,"organic, dwarf - no trellis required, high-yielding",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-franklin-county-tomato-seeds/,65° F+,"1/4""",3-10+,75+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-60""","24-36""",single,NOT_FOUND,habit: stake,N/A,success,2025-12-24 11:21:33
Tomatoes,Solanum lycopersicum,Rainbow Cherry (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/,65° F+,"1/4""",3-10+,65+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:37
Tomatoes,Solanum lycopersicum,Gardener's Delight (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,65,1,0.5,,5,15,"organic, indeterminate cherry, requires support",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-gardeners-delight-tomato-seeds/,65° F+,"1/4""",3-10+,65+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:33
Tomatoes,Solanum lycopersicum,Sweetie Cherry (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,85,1,0.5,,5,15,"organic, indeterminate cherry, crack-free",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-sweetie-cherry-tomato/,65° F+,"1/4""",3-10+,85+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:38
Tomatoes,Solanum lycopersicum,Thornburn's Terra Cotta (indet.),SDSC,12/19/2025,1 packet,warm,medium-high,,transplant,50,65,1,0.5,,5,15,"organic, indeterminate, heirloom",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-thornburns-terra-cotta-tomato-seeds/,65° F+,"1/4""",3-10+,65+,N/A,Transplant,"≥2"" apart","≥24"" apart",50' row,"36-90""","24-36""",single,60,habit: train with trellis,N/A,success,2025-12-24 11:21:37
